start_height,avg_rcpt,avg_rcpt_var,avg_bct,std_bct,label,alpha,beta,K,utility_value,TO,PDT,TO-PDT,Differ,Differ_Normal,compute_utility_overhead (s),defense_overhead(s),training_overhead (s),feature_extraction_overhead (s),inference_overhead (s),episode_duration (s)
111,409.71002166357846,80.81867861802232,439.8286255126749,1000,0,0.3,0.1,8.0,0.4167961763198303,1017.5065070235621,420.49467770857,597.0118293149922,597.0118293149922,0.9950197155249878,8.392333984375e-05,4.76837158203125e-07,0.07419323921203613,7.343292236328125e-05,0.003869295120239258,0
112,418.74560281830736,74.84511302565684,420.49467770857,1000,0,0.2,0.8,8.0,0.07785065313756123,547.8028620755554,517.5460110867879,30.256850988767496,30.256850988767496,0.05042808498127904,8.344650268554688e-05,2.384185791015625e-07,0.07433724403381348,7.319450378417969e-05,0.003681182861328125,0
113,419.0954177963599,16.088430534899434,517.5460110867879,1000,0,0.1,0.6,8.0,0.14843271521142487,905.7300178517294,670.2878066897046,235.44221116202482,235.44221116202482,0.39240368527004055,8.440017700195312e-05,2.384185791015625e-07,0.07325267791748047,7.390975952148438e-05,0.003843545913696289,0
114,428.94047712540277,59.59869259079083,670.2878066897046,1000,0,0.2,0.9,7.0,0.9918179747891519,1735.3195688558978,589.7410487286479,1145.57852012725,1145.57852012725,1.9092975335454163,8.344650268554688e-05,4.76837158203125e-07,0.07479262351989746,7.462501525878906e-05,0.003733396530151367,0
115,477.20994303826313,179.72994654537638,589.7410487286479,1000,0,0.9,0.1,8.0,0.9037117058809582,1881.5460417415502,489.0172806014957,1392.5287611400545,1392.5287611400545,2.320881268566758,8.344650268554688e-05,2.384185791015625e-07,0.07482695579528809,7.271766662597656e-05,0.003803730010986328,0
116,578.4879381596094,162.8822629477426,489.0172806014957,1000,0,0.9,0.1,8.0,0.9295205414338393,1677.8742921857026,314.6776357324043,1363.1966564532984,1363.1966564532984,2.2719944274221646,0.00010704994201660156,2.384185791015625e-07,0.08032894134521484,7.295608520507812e-05,0.0036411285400390625,0
117,497.9643463573071,147.48874322854945,314.6776357324043,1000,0,0.9,0.1,8.0,0.8471079861491418,1409.588194890443,457.3861476451951,952.202047245248,952.202047245248,1.587003412075413,8.440017700195312e-05,4.76837158203125e-07,0.07483649253845215,7.2479248046875e-05,0.003737211227416992,0
118,333.0063067948946,134.57273601194356,457.3861476451951,1000,0,0.9,0.1,8.0,0.5740464077138657,1423.8222501141827,691.7642337164705,732.0580163977122,732.0580163977122,1.2200966939961866,8.344650268554688e-05,7.152557373046875e-07,0.07480382919311523,7.486343383789062e-05,0.003644227981567383,0
119,444.948163560165,122.35926081925221,691.7642337164705,1000,0,0.7,0.1,8.0,0.9497106444366445,1557.941947405708,221.0641097922757,1336.8778376134323,1336.8778376134323,2.22812972935572,8.440017700195312e-05,2.384185791015625e-07,0.07472515106201172,7.295608520507812e-05,0.003837108612060547,0
120,617.7194126695788,117.52781684201616,221.0641097922757,1000,0,0.7,0.2,8.0,0.5415789394297988,1282.6332738254757,576.8414211482535,705.7918526772222,705.7918526772222,1.1763197544620372,8.440017700195312e-05,4.76837158203125e-07,0.0746150016784668,7.271766662597656e-05,0.0038521289825439453,0
121,340.06070065546663,117.82157164625113,576.8414211482535,1000,0,0.5,0.1,7.0,0.5729835151178462,1283.6002144457177,552.3935597492989,731.2066546964188,731.2066546964188,1.2186777578273649,8.296966552734375e-05,4.76837158203125e-07,0.07468652725219727,7.271766662597656e-05,0.0036630630493164062,0
122,458.45106090186005,117.87845050626538,552.3935597492989,1000,0,0.4,0.1,8.0,0.7990185959562947,1389.845303532717,479.3948281668773,910.4504753658398,910.4504753658398,1.5174174589430667,8.249282836914062e-05,2.384185791015625e-07,0.07582497596740723,7.319450378417969e-05,0.003874063491821289,0
123,496.0280604408356,111.72715538648518,479.3948281668773,1000,0,0.3,0.1,8.0,0.4789516010789728,1304.788219614758,651.6699228776079,653.1182967371501,653.1182967371501,1.0885304945619172,8.368492126464844e-05,4.76837158203125e-07,0.07581639289855957,7.319450378417969e-05,0.0036885738372802734,0
124,491.0380907586481,101.71876610701374,651.6699228776079,1000,0,0.8,0.1,8.0,0.7779808518468984,1377.6197655633482,484.5783583481893,893.0414072151589,893.0414072151589,1.4884023453585984,9.512901306152344e-05,4.76837158203125e-07,0.0756072998046875,7.152557373046875e-05,0.003715038299560547,0
125,619.5435564538159,94.75952613869156,484.5783583481893,1000,0,0.2,0.1,8.0,0.6264542729564097,1361.196831818871,587.6822207451235,773.5146110737476,773.5146110737476,1.289191018456246,8.296966552734375e-05,2.384185791015625e-07,0.07560467720031738,7.390975952148438e-05,0.003699064254760742,0
